#lat,long,#line
48.78113,8.907286,707
48.78128,8.907289,708
48.78143,8.907308,709
48.78158,8.907337,710
48.78173,8.907386,711
48.78187,8.907448,712
48.782,8.907534,713
48.78216,8.907625,714
48.78229,8.907735,715
48.78243,8.907867,716
48.78256,8.908013,717
48.7827,8.908163,718
48.78284,8.908314,719
48.78298,8.908467,720
48.78312,8.90862,721
48.78326,8.908766,722
48.78341,8.908905,723
48.78357,8.909027,724
48.78372,8.909131,725
48.78388,8.909222,726
48.78404,8.909303,727
48.78421,8.909366,728
48.78437,8.909414,729
48.7845,8.909464,730
48.78485,8.909525,731
48.78514,8.909704,732
48.78529,8.909985,733
48.78544,8.910131,734
48.7856,8.910266,735
48.78576,8.910378,736
48.78592,8.910474,737
48.786,8.91055,738
48.78625,8.91063,739
48.7864,8.91072,740
48.78656,8.910821,741
48.78672,8.910927,742
48.78688,8.911035,743
48.787,8.911147,744
48.78719,8.911257,745
48.78735,8.911369,746
48.7875,8.911473,747
48.78766,8.911578,748
48.78781,8.911682,749
48.78796,8.911786,750
48.7881,8.911885,751
48.78823,8.911988,752
48.78836,8.912085,753
48.78847,8.912171,754
48.78857,8.912254,755
48.78866,8.912318,756
48.78873,8.91238,757
48.78877,8.912455,758
48.7888,8.912556,759
48.78881,8.912669,760
48.78879,8.912795,761
48.78876,8.912929,762
48.78871,8.913069,763
48.78865,8.913207,764
48.78858,8.913345,765
48.78851,8.913487,766
48.78844,8.913627,767
48.7883,8.913771,768
48.78823,8.914055,769
48.78815,8.91419,770
48.78808,8.914319,771
48.78803,8.914434,772
48.78794,8.914525,773
48.78789,8.914646,774
48.78784,8.914661,775
48.78781,8.914642,776
48.78779,8.914588,777
48.7877,8.91452,778
48.78774,8.914453,779
48.7877,8.914385,780
48.78769,8.914316,781
48.78766,8.914249,782
48.78763,8.914182,783
48.7876,8.91412,784
48.78757,8.914056,785
48.78756,8.913989,786
48.78761,8.91392,787
48.78762,8.913817,788
48.78761,8.913765,789
48.78761,8.913713,790
48.78761,8.913665,791
48.78763,8.913622,792
48.78766,8.913591,793
48.78768,8.913572,794
48.7876,8.91356,795
48.78771,8.913554,796
48.78771,8.913555,797
48.78771,8.913555,798
48.78771,8.913555,799
48.78771,8.913555,800
48.78772,8.913555,801
48.78773,8.91358,802
48.78773,8.913593,803
48.78773,8.913593,804
48.78773,8.913593,805
48.78773,8.913593,806
48.78773,8.913593,807
48.78773,8.913593,808
48.78773,8.913593,809
48.78773,8.913593,810
48.78773,8.913593,811
48.78773,8.913593,812
48.78773,8.913593,813
48.78773,8.913593,814
48.78773,8.913593,815
48.78773,8.913593,816
48.78773,8.913593,817
48.78773,8.913593,818
48.78773,8.913593,819
48.78773,8.913593,820
48.78773,8.913593,821
48.78773,8.913593,822
48.78773,8.913593,823
48.78773,8.913593,824
48.78773,8.913593,825
48.78773,8.913593,826
48.78773,8.913593,827
48.78773,8.913593,828
48.78773,8.913593,829
48.78773,8.913593,830
48.78773,8.913593,831
48.78773,8.913593,832
48.78773,8.913593,833
48.78773,8.913593,834
48.78773,8.913593,835
48.78773,8.913593,836
48.78773,8.913593,837
48.78773,8.913593,838
48.78773,8.913593,839
